,type_of_sampling,experiment,n_genes,n_counts,mean_countsxcell,nmi,ari,F1score_all,F1score_gain,F1score_loss,AUC_loss,PR_gains,AUC_loss,PR_loss,AUC_gains,n_subsample
0,subsampled,02,all,,37548.426,0.9890374743142117,0.9945206818448663,0.8776382746842301,0.9264627227323433,0.7385256980068332,0.8026842395088216,0.8354048126671625,0.8026842395088216,0.3207770861494835,0.9462517475680307,100
1,subsampled,02,all,,26283.896,0.9631228845644788,0.9805318627146999,0.8759355244305961,0.935706677561171,0.6984832526176608,0.7775394628282878,0.8580587337685426,0.7775394628282878,0.30474674544416325,0.9538058185834484,70
2,subsampled,02,20000,,19431.75,0.9700335216930205,0.9842702133934494,0.8720178475771362,0.9353177108963047,0.6636524682833738,0.7573307122921491,0.8506792019307683,0.7573307122921491,0.2309272103879893,0.9539789036596878,70
3,subsampled,02,all,,18774.213,0.9810656780024255,0.9904632119556367,0.8685251714473565,0.9356146148735066,0.6616498579223108,0.7548026885033517,0.8585537544562696,0.7548026885033517,0.2633523828465153,0.9533884346483228,50
4,subsampled,02,15000,,9902.858,0.9558679222001684,0.9772264522314772,0.8499577815283421,0.9282876186443044,0.5569695953475297,0.7021984236396537,0.841398337695106,0.7021984236396537,0.07369704749452025,0.9479644090860698,50
5,subsampled,02,5000,,2992.022,0.7714391561158909,0.8422224153229467,0.7684558381122635,0.858965598283639,0.47112212477901755,0.659639137539972,0.6008636944512749,0.659639137539972,0.038376447366577936,0.8907879700262752,50
6,subsampled,02,1000,,141.07571,0.006752897459093299,0.009431212741255293,0.0673566394592049,0.07709142118231642,0,0.5086374090675366,0.002472264161286025,0.5086374090675366,0.00549399569941726,0.49552393801860767,10
7,subsampled,02,all,,1877.4211,0.7506820174899372,0.7662654283488295,0.7239116356823525,0.8788122102009778,0.057683372476682176,0.525003137677484,0.6495287734167783,0.525003137677484,0.003911093840235818,0.9038416156681224,5
8,subsampled,02,20000,,1387.8138,0.6973617431165828,0.5747167651591306,0.7155911026772367,0.8678454071610211,0.0035792335194414445,0.515772490228041,0.6020374409746729,0.515772490228041,0.003532285888467545,0.8949344552271544,5
9,subsampled,02,15000,,990.3115,0.6346339416556341,0.5420999014572555,0.7136590531011336,0.8576830297859853,0.00800129267941313,0.5204925008356206,0.5649520945686749,0.5204925008356206,0.0035683490709738125,0.8861571167181233,5
10,subsampled,01,all,,25933.25,0.8145608682633482,0.7846990136350531,0.8381744683318018,0.8984712937811428,0.6987082805223749,0.779953612237619,0.7148204047485586,0.779953612237619,0.14816354772920165,0.9277019214481322,70
11,subsampled,01,20000,,19246.543,0.8711796613130618,0.9111869390717581,0.8421845988389831,0.9014010681017451,0.6969573140810439,0.7791035318635865,0.7075442563010591,0.7791035318635865,0.13838545984495101,0.9302506059980966,70
12,subsampled,01,15000,,13707.869,0.7948971928043111,0.8339871255694707,0.8250257594441024,0.8918579794647896,0.6338840529976427,0.7427724667442959,0.6886304484812147,0.7427724667442959,0.03522365476289065,0.9218974773292047,70
13,subsampled,01,10000,,9028.751,0.7204738202980892,0.7702191489043648,0.8274655138675795,0.8704681778948357,0.6919769519339956,0.7763527732760465,0.5107193380132966,0.7763527732760465,0.08892615745139015,0.903686891278273,70
14,subsampled,01,5000,,4137.347,0.3696523540169787,0.30904883873855404,0.6700469437016575,0.719709172699288,0.47504143592655773,0.6512824843245979,0.18774041903506458,0.6512824843245979,0.008840297311527507,0.791881570923492,70
15,subsampled,01,1000,,993.64905,0.022969849312267997,0.03141171850996063,0.37984967311598733,0.22429833466106233,0.5005172350370293,0.6807615936096952,0.0041256032224840115,0.6807615936096952,0.011877920986284488,0.5567441632323124,70
16,subsampled,01,500,,473.0347,0.02126556831354721,0.01856825862710459,,,,,,,,,70
17,subsampled,01,all,,18523.75,0.9163551819659351,0.9504368944812307,0.8336063377439394,0.8993786579167204,0.6754476019593075,0.7641079495664901,0.7154974512772962,0.7641079495664901,0.11975771499558634,0.9279876937361741,50
18,subsampled,01,20000,,13748.256,0.8797070359780044,0.9189310595922958,0.8365422764114956,0.9014055327464903,0.6705257638803098,0.7610481776884418,0.7098743549279387,0.7610481776884418,0.09953316670986374,0.929947284911447,50
19,subsampled,01,15000,,9791.757,0.8054380882669765,0.852478309539535,0.8180562744271127,0.8943594140397111,0.5920811855762246,0.7208164597799885,0.6920800571217609,0.7208164597799885,0.025542875493621275,0.9235988220634398,50
20,subsampled,01,10000,,6448.81,0.6866715540421068,0.7171320997539741,0.8242515699651037,0.8761738205706608,0.6556658324062716,0.7552697308835262,0.5146856888913678,0.7552697308835262,0.058840688093946145,0.9080019719391771,50
21,subsampled,01,5000,,2955.5898,0.33347127863661075,0.28042894739139806,0.6527712055504372,0.7147595026692689,0.4025794679736201,0.6210063991965025,0.15926754168897134,0.6210063991965025,0.006314888962221989,0.7869907185590787,50
22,subsampled,01,1000,,709.9125,0.02274182322104124,0.03122581774596745,0.3657342145193344,0.21440909567515226,0.4843533221303837,0.6763995200624165,0.003771218310792746,0.6763995200624165,0.011256828907796643,0.5498394118951201,50
23,subsampled,01,500,,337.95505,0.023989671171444713,0.01233888200861652,,,,,,,,,50
24,subsampled,01,all,,7409.5,0.8067082260344661,0.8590826975784913,0.7857347036306267,0.8942277736074548,0.48609105635906236,0.6653721305385886,0.6895293432939742,0.6653721305385886,0.02008156893463002,0.9223427795140792,20
25,subsampled,01,15000,,3915.4604,0.6562083600375482,0.7324372194337712,0.7561409738060715,0.8856684882082156,0.2885986057633656,0.5937754286528699,0.6655709148760691,0.5937754286528699,0.004307876869218658,0.9148093384226756,20
26,subsampled,01,5000,,1181.6285,0.21030279580268355,0.20118673160450934,0.5342131448475654,0.632206453102679,0.10987664787185482,0.5299787356599149,0.06834335558498064,0.5299787356599149,0.0015597681037325404,0.7304453844786485,20
27,subsampled,01,10000,,1289.4802,0.35000580894340305,0.38443926040603704,0.6841861792243165,0.8116787193837444,0.13574298112528757,0.5473070063278398,0.2431661121637162,0.5473070063278398,0.0019900278976759935,0.8501283850933596,10
28,subsampled,01,1000,,141.82965,0.010220622998701913,0.024520163053976907,0.16194620434721677,0.1358742718043592,0.17737481883364598,0.5714523306691028,0.0022476840131328397,0.5714523306691028,0.0032131596061537523,0.5136339679899057,10
29,subsampled,01,5000,,295.5355,0.05536492468258769,0.07107079304211178,0.3562413098738902,0.4376503629911324,0,0.5104679615110655,0.013642603004651083,0.5104679615110655,0.0013875659726626077,0.6213762573052657,5
30,subsampled,01,500,,33.81388,0.011350948051083038,0.019734807835164726,,,,,,,,,5
31,subsampled,01,500,,20.192429,0.008625007969604477,0.009395204912683232,,,,,,,,,3
32,subsampled,01,1000,,28.126972,0.004573607274572408,0.0036331800478677234,0.06388526440671238,0.045602310320684604,0,0.5038550352549858,0.0021384948019627526,0.5038550352549858,0.0022820768065431644,0.4864881381706724,2
33,subsampled,01,20000,,274.8549,0.16121752674304654,0.173927975113548,0.5806336879906561,0.7504599041956863,0,0.5220606567331074,0.12569047212951542,0.5220606567331074,0.001742592891577481,0.801150290699479,1
34,subsampled,01,15000,,195.5907,0.13264290580486818,0.164692183066042,0.5843096388038792,0.7337192038647083,0,0.5227369049604699,0.11336024405771508,0.5227369049604699,0.0016668491551831317,0.7888982311718847,1
35,subsampled,01,500,,6.6798105,0.00876537865254745,0.020919392469762075,,,,,,,,,1
36,subsampled,01,all,,37047.5,0.9120136577994521,0.9326924273429279,0.8379261862533575,0.890198064245074,0.7198292812663629,0.7929448837363625,0.6683066472107979,0.7929448837363625,0.1390561475029373,0.9208323590141215,100
37,subsampled,01,20000,,27544.066,0.8668211485993145,0.9025207956985322,0.8400732493713332,0.889796063379724,0.7222274526966066,0.794977742050444,0.6638771109530025,0.794977742050444,0.12759587455265484,0.9203960275532325,100
38,subsampled,01,15000,,19650.586,0.790014750807206,0.8214422016322604,0.8212786521342266,0.8750457512992577,0.673171058836342,0.7647530146005168,0.6397465111334616,0.7647530146005168,0.03850639400685642,0.9077705669732304,100
39,subsampled,01,10000,,12948.263,0.6934478252086824,0.7268173729170949,0.8065929279625853,0.8393385132886132,0.705355210238713,0.7845953552342186,0.4458709814837557,0.7845953552342186,0.0719524644332582,0.8786371816655612,100
40,subsampled,01,5000,,5955.258,0.3197285740312888,0.2645793420527195,0.6157084348298115,0.6594673277679859,0.44527791784465054,0.6405565953792391,0.1581864598979084,0.6405565953792391,0.005885815370664752,0.7554644956939175,100
41,subsampled,01,1000,,1421.3102,0.019107976861786637,0.026528991944582993,0.33389593751446667,0.21281151426454326,0.43356931872109755,0.6474456075074714,0.005289876172369461,0.6474456075074714,0.006947039641192723,0.5575066677607314,100
42,subsampled,01,500,,678.6241,0.020658137264734124,0.03602365240827765,,,,,,,,,100
43,subsampled,02,10000,,650.653,0.4494563714484304,0.4699327157398507,0.5882107861712227,0.7134595795170068,0.00519732184238613,0.5170273207226679,0.2129500176462376,0.5170273207226679,0.0034428806451452603,0.7769291912289067,5
44,subsampled,02,20000,,27808.832,0.9749439080476523,0.9860045291290048,0.874485609472437,0.9246630169396188,0.7169545197960233,0.7892142542853653,0.823765321241362,0.7892142542853653,0.24957065522045005,0.9451145379997936,100
45,subsampled,02,15000,,19875.377,0.934765948763024,0.9581311195582735,0.8645043778328114,0.9160762030666996,0.6912076263874224,0.7741649693238623,0.8097366021611554,0.7741649693238623,0.13951385236744382,0.938212994979902,100
46,subsampled,02,10000,,13060.883,0.8930135854579169,0.9195018707216829,0.8437538118259471,0.8756040662911371,0.7388738986664437,0.8049168716696605,0.700636357964033,0.8049168716696605,0.26114907936828047,0.905081859341954,100
47,subsampled,02,5000,,6032.3784,0.8223605814288966,0.8732467731069541,0.7790054262466021,0.823277681541342,0.6537658847834199,0.7511409539877427,0.561970931493477,0.7511409539877427,0.07078084679675392,0.8645840039086778,100
48,subsampled,02,1000,,1419.8495,0.027668179387297116,0.02323030081375123,0.23574204907552485,0.14330648636655302,0.2657078967665574,0.580067471476009,0.0029367714973322833,0.580067471476009,0.008045916630413014,0.5361019025805049,100
49,subsampled,02,500,,679.0624,0.020935574685611347,0.0352270434569078,0.18222409664780148,0.11995609977915525,0.18671643733619417,0.5595276758010849,0.00043451753260070864,0.5595276758010849,0.0058907201968139795,0.5275435542155694,100
50,subsampled,02,15000,,13865.672,0.9588528325091713,0.9767455447372844,0.8591455934112544,0.9278887459602854,0.6124134707565846,0.729898488085934,0.8410998935811969,0.729898488085934,0.10555192204568006,0.9480697395698826,70
51,subsampled,02,10000,,9105.967,0.9205048111115932,0.9496347735797,0.8513358142652644,0.8964469334161393,0.6965022418199149,0.7783811802574798,0.7536843646431375,0.7783811802574798,0.23654571508982108,0.92214166570876,70
52,subsampled,02,5000,,4189.724,0.8099013777027897,0.8719118928095488,0.7860105914731959,0.8577302941589133,0.5683304031434095,0.7059413474920923,0.6109542805926573,0.7059413474920923,0.06205124284483476,0.8906874013699329,70
53,subsampled,02,1000,,991.515,0.018766584558381594,0.0276820769771229,0.2599521574197762,0.15473188740738172,0.2957560719916516,0.5951651821747724,0.0029342671091859497,0.5951651821747724,0.009022757428533094,0.5349751347942105,70
54,subsampled,02,500,,472.93375,0.021795111722840526,0.029050877725299597,0.17727162760055384,0.1781304115293066,0.17615744498139083,0.5605372192051077,0.00043495125951490944,0.5605372192051077,0.006941974359415253,0.5404107296918823,70
55,subsampled,02,20000,,13878.423,0.9800783425479526,0.9897894747525069,0.8652089968581052,0.9353400655466136,0.6261980469255228,0.7358184451011296,0.8497503761797931,0.7358184451011296,0.1775718948800951,0.9536300653435649,50
56,subsampled,02,10000,,6503.655,0.9060454848286367,0.9415682407504405,0.841377009059765,0.8943933971035063,0.6524441541296164,0.7526047937625334,0.7479360376969757,0.7526047937625334,0.18687987538969703,0.9201119216078744,50
57,subsampled,02,1000,,707.4077,0.023316555072990377,0.002917582318232961,0.22889885706782231,0.14140355916183825,0.251852783567549,0.581337526818846,0.002750328902589491,0.581337526818846,0.008004879563031666,0.5273069105305487,50
58,subsampled,02,500,,337.21292,0.022095853390277673,0.028457709218819273,0.15907061106578163,0.22047940332823515,0.15268989723455298,0.5550603613214575,0.0004638481695685144,0.5550603613214575,0.007006099987121381,0.553069645703703,50
59,subsampled,02,all,,7509.6846,0.9795479374384178,0.990422722120461,0.8381312170129602,0.9269401492379109,0.5378006657025537,0.6907813821428975,0.827496191876155,0.6907813821428975,0.12545240613192787,0.9461922753244979,20
60,subsampled,02,5000,,298.62146,0.3539663585232925,0.44608021856862984,0.526540405568203,0.6604038616263376,0,0.5098340868253862,0.14604926629742987,0.5098340868253862,0.0036939780253644884,0.7406355027817867,5
61,subsampled,02,1000,,70.39826,0.005277909669027062,0.007336210285281677,0.06826261129925493,0.057394642870347415,0,0.5082838218039126,0.0024691999962366293,0.5082838218039126,0.005474541355012619,0.48732416435975656,5
62,subsampled,02,500,,33.502365,0.008470548507908007,0.011892128297755615,0.05778957042483176,0.3049220189947451,0,0.5148962878044833,0.0005602951408124093,0.5148962878044833,0.004962245141896729,0.5712139798729009,5
63,subsampled,02,all,,1126.4526,0.67802095497265,0.5677151210716027,0.6783233458450102,0.8356236519668786,0.006601263731414505,0.5136139177312282,0.5338297457546475,0.5136139177312282,0.0036994582318201617,0.8674627414854965,3
64,subsampled,02,20000,,832.7358,0.6310383708557438,0.5372506836951265,0.6714650764962928,0.8201156194851481,0.0005918702560499846,0.5172095704226216,0.46795580908233225,0.5172095704226216,0.0035473498959191383,0.855350738374115,3
65,subsampled,02,15000,,594.53625,0.5458648364792925,0.6062622993844385,0.6674374721435892,0.8071232707172976,0.0009360358526260125,0.5189962853595657,0.42714405021226454,0.5189962853595657,0.00357138335448302,0.8446875066067511,3
66,subsampled,02,10000,,390.57178,0.24280813898637868,0.24871477470102482,0.5171589303616395,0.6320700840445861,0.003190069371147034,0.5187972598864096,0.11376327871660943,0.5187972598864096,0.0034543592673465973,0.723454524118916,3
67,subsampled,02,5000,,179.1388,0.27425720622975797,0.3316216955762687,0.48489209004186906,0.6072489182663722,0,0.5093385892759241,0.08733202178801987,0.5093385892759241,0.0036868534362326966,0.7065334619240007,3
68,subsampled,02,1000,,42.23659,0.0026536672816819093,0.0022701235260937187,0.07675147027581143,0.04738933280660066,0,0.5033832274745144,0.002468545254530687,0.5033832274745144,0.005401215167284041,0.4847317377106214,3
69,subsampled,02,all,,750.96844,0.631263985459782,0.500715981510987,0.6420495281178609,0.7953701743299745,0,0.5129842273806061,0.4210835393876012,0.5129842273806061,0.003710730931741124,0.8352916853075847,2
70,subsampled,02,20000,,555.1096,0.544347315109796,0.4508062741146344,0.6308983004648542,0.7748681999904808,0,0.5187683572537443,0.33170146440146386,0.5187683572537443,0.0035554228016800365,0.8196559723144202,2
71,subsampled,02,15000,,396.34702,0.3541878424759415,0.3140641063682659,0.6262271599572912,0.7602627559252679,0,0.5186626291795301,0.2957151461107975,0.5186626291795301,0.003567665286922797,0.8083720082263838,2
72,subsampled,02,10000,,260.28235,0.1715169131378682,0.16568986573311778,0.46051626718671684,0.5632591671972939,0,0.5166880198168695,0.06462300496573742,0.5166880198168695,0.0034456249052317416,0.6820757941189395,2
73,subsampled,02,5000,,119.443214,0.11868316184638611,0.09815610710354,0.44067070502708,0.5517106417368313,0,0.5107856844732205,0.05726517746016776,0.5107856844732205,0.003692934267598103,0.6733323035007112,2
74,subsampled,02,1000,,28.182966,0.006469589166572429,0.00990658746452846,0.07099001471106994,0.03670378160972675,0,0.5035671043366594,0.0024644799455672464,0.5035671043366594,0.0053797310393947865,0.48262603534326,2
75,subsampled,02,500,,13.421925,0.007130070913506363,0.004046967677225498,0.06324910441949999,0.37865962542646475,0,0.510642843957087,0.0007426750742161547,0.510642843957087,0.004899005974876556,0.6023963778826984,2
76,subsampled,02,all,,375.48422,0.4639421877347271,0.45351204712186827,0.5627330166196337,0.7039593502939013,0,0.515382174594765,0.2630140533992318,0.515382174594765,0.0037234443860307137,0.7696882370330578,1
77,subsampled,02,20000,,277.70505,0.29267076952268783,0.2960470176632539,0.5389553446182027,0.6680178608819416,0,0.5211285863738435,0.15522452866413522,0.5211285863738435,0.003567232678812212,0.7445839936815498,1
78,subsampled,02,15000,,198.32256,0.19100817012447832,0.18648157591339204,0.5356867529021901,0.6549284031535336,0,0.5214387623323161,0.13778121773706178,0.5214387623323161,0.003585620455256629,0.7352494003205103,1
79,subsampled,02,10000,,130.3541,0.04995681718031931,0.05439833757087023,0.369718246823343,0.4503246902534323,0,0.5173733199640831,0.029502949234418676,0.5173733199640831,0.003450014604132634,0.6211018495719207,1
80,subsampled,02,5000,,59.84306,0.052263973922574015,0.06160687482391058,0.3686846486177454,0.45281103168043296,0,0.5040441114775046,0.02673706517480996,0.5040441114775046,0.003640866233550841,0.6208192101548455,1
81,subsampled,02,1000,,14.152208,0.004119860349649414,0.004989718619865353,0.04900277803236528,0.01177433835727493,0,0.50202872029307,0.002480382631472094,0.50202872029307,0.005356671196879181,0.48333327749391436,1
82,subsampled,02,500,,6.7066245,0.008192537158417869,0.007353817907895239,0.0387918705597687,0.26121734569699645,0,0.5077335261459881,0.0005547956907053929,0.5077335261459881,0.0048621605653827536,0.5643249103920286,1
83,subsampled,03,15000,,20200.03,0.9846881677474947,0.9913089412159027,0.8679395714474684,0.908568839359733,0.7428799393490797,0.8055490422445514,0.8004807701295317,0.8055490422445514,0.2866974310456773,0.9292901922905021,100
84,subsampled,03,500,,680.17065,0.0573428275301907,0.060326351139198764,0.15454750741163822,0.33045009460156094,0.1017256910050429,0.5321859487041773,0.014441436805627855,0.5321859487041773,0.008847528457428951,0.6027315219147671,100
85,subsampled,03,20000,,14504.054,0.9918287098793014,0.9952512006288012,0.8618744611358432,0.9313219575062649,0.631353768449182,0.7402881033585491,0.8537622649393753,0.7402881033585491,0.25058624748899105,0.9466155407873602,50
86,subsampled,03,5000,,3025.784,0.9028829837809788,0.9366247775239916,0.7088921282448405,0.8130350555826609,0.3668669023734873,0.6224717155004703,0.5289320514335258,0.6224717155004703,0.028304600020830854,0.8546071704394478,50
87,subsampled,03,all,,7768.986,1.0000000000000002,1.0,0.8220546340345191,0.9246477831391107,0.4535612089850366,0.6555680851607482,0.8384283147313786,0.6555680851607482,0.09770979919827413,0.9404199864289389,20
88,subsampled,03,20000,,5801.7935,0.992685376993652,0.9953565202512266,0.8153054141356401,0.923292517942268,0.39691082003630584,0.6347462137850495,0.8320738831913942,0.6347462137850495,0.0725808727190333,0.9397986644852391,20
89,subsampled,03,15000,,4022.3508,0.9865567501190958,0.9939549371403524,0.8031334456137362,0.9133016402674905,0.35578952909434275,0.6199622158379751,0.8020828522934632,0.6199622158379751,0.03360361580079808,0.9324345755599192,20
90,subsampled,01,20000,,5498.128,0.7800473553581809,0.8416066600750146,0.7924976886575527,0.8982780948504324,0.48629197196741897,0.6677801301966584,0.6917557738723574,0.6677801301966584,0.018581466421325275,0.9259416348385452,20
91,subsampled,01,10000,,2579.3928,0.5274741725564867,0.5555820587758534,0.7539202491793555,0.8522849676382148,0.3760842713515316,0.625412173871365,0.3830606643186348,0.625412173871365,0.007466700221968301,0.8855266527563883,20
92,subsampled,01,1000,,283.16876,0.015314765215104054,0.01826866803938017,0.12716076899987752,0.15699294287096305,0.08924666029607949,0.5438618612459973,0.0025467459919910384,0.5438618612459973,0.002632888731072312,0.523290396662069,20
93,subsampled,01,500,,134.72949,0.017517256995230154,0.0313498935370073,,,,,,,,,20
94,subsampled,01,all,,3704.75,0.6742829191202585,0.6297636932186905,0.7126166810358696,0.8771378014454765,0.18172685281787135,0.5566914945086818,0.6279227728666489,0.5566914945086818,0.0030031720201157655,0.9065071520805738,10
